"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","Should get the posts list successfully","","2026-06-09","passed","2026-06-09","","api/get-posts.spec.ts","",""
"","170","Should get a single post successfully","","2026-06-09","passed","2026-06-09","","api/get-post.spec.ts","",""
"","177","Should create a post successfully","","2026-06-09","passed","2026-06-09","","api/create-post.spec.ts","",""
